         7x13E                    (7x13E.dat)
         Interpolated from 7x11E and 7x15E
         Estimation Date: 04/16/2026

         AIRFOIL AERO DATA GENERATED USING:  INTERPOLATION (7x11E + 7x15E)  

         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======

         DEFINITIONS:
         J=V/nD (advance ratio) 
         Ct=T/(rho * n**2 * D**4) (thrust coef.)
         Cp=P/(rho * n**3 * D**5) (power coef.)
         Pe=Ct*J/Cp (efficiency) 
         V  (model speed in MPH) 
         Mach (at prop tip)  
         Reyn (at 75% of span) 
         FOM (Figure of Merit)


         PROP RPM =       1000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
      129.72      1.6308      0.8484      0.0781      0.1508       0.352       1.851       0.860     262.734       0.209       3.824       1.520          0.38     96326.      0.1177
      135.36      1.7017      0.8424      0.0653      0.1325       0.310       1.626       0.719     230.862       0.183       3.198       1.446          0.38     97696.      0.1024
      141.00      1.7727      0.8252      0.0522      0.1127       0.264       1.384       0.576     196.488       0.157       2.561       1.359          0.39     99098.      0.0862
      146.64      1.8436      0.7886      0.0391      0.0918       0.214       1.127       0.431     159.939       0.127       1.916       1.248          0.39    100534.      0.0684
      152.28      1.9144      0.7140      0.0260      0.0698       0.163       0.857       0.286     121.553       0.097       1.272       1.087          0.40    102000.      0.0485
      157.93      1.9853      0.5452      0.0129      0.0469       0.110       0.576       0.142      81.715       0.065       0.631       0.797          0.40    103496.      0.0251
      163.56      2.0562      0.0014      0.0000      0.0234       0.054       0.288       0.000      40.858       0.033       0.001       0.002          0.40    105020.      0.0000



         PROP RPM =      13000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -
        0.00      0.0000      0.0000      0.1502      0.1469       0.437       2.117       1.942     325.576       0.239       8.639       2.771          0.36     85068.      0.3239
        6.12      0.0709      0.0725      0.1498      0.1467       0.436       2.115       1.937     325.245       0.238       8.615       2.761          0.36     85256.      0.3223
       12.22      0.1419      0.1442      0.1496      0.1472       0.438       2.120       1.934     326.031       0.239       8.604       2.746          0.36     85490.      0.3203
       18.34      0.2128      0.2148      0.1497      0.1482       0.441       2.134       1.935     328.229       0.241       8.608       2.725          0.36     85776.      0.3178
       24.45      0.2838      0.2835      0.1500      0.1499       0.446       2.159       1.940     332.097       0.244       8.627       2.696          0.36     86118.      0.3147
       30.57      0.3547      0.3497      0.1506      0.1525       0.453       2.197       1.948     337.843       0.248       8.662       2.657          0.36     86522.      0.3108
       36.67      0.4256      0.4124      0.1514      0.1560       0.464       2.247       1.958     345.607       0.254       8.709       2.610          0.36     86988.      0.3061
       42.79      0.4965      0.4709      0.1524      0.1604       0.477       2.311       1.971     355.454       0.262       8.767       2.553          0.36     87518.      0.3004
       48.91      0.5675      0.5247      0.1536      0.1658       0.493       2.389       1.986     367.371       0.270       8.831       2.487          0.37     88114.      0.2936
       55.02      0.6384      0.5732      0.1547      0.1720       0.511       2.478       2.000     381.247       0.280       8.896       2.415          0.37     88774.      0.2861
       61.13      0.7093      0.6162      0.1557      0.1791       0.532       2.580       2.014     396.856       0.291       8.955       2.337          0.37     89502.      0.2776
       67.24      0.7803      0.6539      0.1565      0.1867       0.555       2.691       2.023     413.823       0.304       9.002       2.255          0.38     90292.      0.2684
       73.36      0.8512      0.6864      0.1569      0.1948       0.579       2.806       2.029     431.552       0.317       9.024       2.169          0.38     91147.      0.2585
       79.47      0.9222      0.7140      0.1567      0.2027       0.603       2.920       2.026     449.115       0.330       9.009       2.084          0.38     92065.      0.2480
       85.58      0.9931      0.7375      0.1554      0.2099       0.624       3.023       2.010     465.079       0.342       8.939       1.999          0.38     93045.      0.2369
       91.69      1.0640      0.7576      0.1528      0.2154       0.640       3.104       1.976     477.392       0.350       8.790       1.917          0.39     94086.      0.2252
       97.81      1.1350      0.7754      0.1485      0.2183       0.649       3.145       1.921     483.689       0.355       8.541       1.841          0.39     95188.      0.2130
      103.92      1.2059      0.7919      0.1422      0.2177       0.647       3.135       1.839     482.280       0.354       8.181       1.769          0.39     96350.      0.2004
      110.03      1.2769      0.8071      0.1342      0.2135       0.634       3.075       1.736     472.875       0.347       7.721       1.704          0.39     97567.      0.1875
      116.14      1.3478      0.8211      0.1248      0.2059       0.612       2.966       1.614     456.192       0.335       7.178       1.642          0.39     98836.      0.1743
      122.25      1.4187      0.8334      0.1142      0.1955       0.581       2.817       1.478     433.226       0.318       6.572       1.583          0.40    100154.      0.1608
      128.37      1.4897      0.8432      0.1028      0.1827       0.543       2.632       1.331     404.865       0.297       5.918       1.526          0.40    101516.      0.1470
      134.49      1.5606      0.8496      0.0909      0.1678       0.498       2.417       1.175     371.822       0.273       5.227       1.468          0.40    102922.      0.1328
      140.59      1.6315      0.8513      0.0784      0.1510       0.449       2.175       1.014     334.659       0.246       4.509       1.407          0.41    104368.      0.1183
      146.71      1.7025      0.8459      0.0655      0.1326       0.394       1.911       0.848     293.846       0.216       3.771       1.340          0.41    105852.      0.1029
      152.82      1.7734      0.8296      0.0525      0.1128       0.335       1.624       0.678     249.801       0.183       3.019       1.260          0.42    107373.      0.0867
      158.93      1.8443      0.7944      0.0393      0.0916       0.273       1.320       0.508     202.938       0.149       2.259       1.159          0.42    108930.      0.0690
      165.05      1.9152      0.7216      0.0261      0.0694       0.206       0.999       0.337     153.696       0.113       1.498       1.013          0.42    110518.      0.0491
      171.16      1.9862      0.5546      0.0129      0.0463       0.138       0.667       0.167     102.572       0.075       0.742       0.748          0.42    112140.      0.0255
      177.28      2.0572     -0.0003      0.0000      0.0226       0.068       0.326       0.000      50.127       0.037      -0.001      -0.001          0.43    113792.      0.0000



         PROP RPM =      14000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -
        0.00      0.0000      0.0000      0.1502      0.1469       0.545       2.455       2.253     406.653       0.277      10.024       2.575          0.39     91612.      0.3241
        6.59      0.0709      0.0725      0.1498      0.1468       0.545       2.452       2.247     406.212       0.277       9.995       2.566          0.39     91814.      0.3226
       13.17      0.1419      0.1443      0.1497      0.1472       0.546       2.458       2.244     407.165       0.277       9.982       2.551          0.39     92065.      0.3206
       19.76      0.2129      0.2150      0.1497      0.1481       0.549       2.474       2.245     409.884       0.279       9.988       2.532          0.39     92373.      0.3182
       26.34      0.2838      0.2839      0.1501      0.1498       0.556       2.503       2.251     414.692       0.282      10.011       2.505          0.39     92742.      0.3151
       32.93      0.3548      0.3501      0.1507      0.1524       0.566       2.547       2.260     421.851       0.287      10.052       2.470          0.39     93176.      0.3113
       39.51      0.4258      0.4129      0.1515      0.1559       0.579       2.605       2.272     431.536       0.294      10.108       2.425          0.39     93679.      0.3065
       46.10      0.4967      0.4716      0.1525      0.1603       0.595       2.679       2.288     443.832       0.302      10.175       2.373          0.39     94251.      0.3008
       52.69      0.5677      0.5254      0.1537      0.1658       0.615       2.769       2.304     458.727       0.312      10.250       2.313          0.40     94892.      0.2941
       59.27      0.6386      0.5740      0.1548      0.1720       0.639       2.874       2.321     476.087       0.325      10.327       2.245          0.40     95605.      0.2865
       65.86      0.7097      0.6172      0.1559      0.1791       0.665       2.993       2.337     495.636       0.338      10.398       2.172          0.40     96388.      0.2781
       72.44      0.7805      0.6549      0.1567      0.1868       0.693       3.120       2.351     516.910       0.353      10.454       2.096          0.40     97240.      0.2689
       79.03      0.8516      0.6875      0.1572      0.1948       0.723       3.255       2.356     539.175       0.368      10.482       2.017          0.41     98162.      0.2591
       85.61      0.9225      0.7151      0.1569      0.2029       0.753       3.389       2.353     561.282       0.383      10.469       1.937          0.41     99150.      0.2485
       92.19      0.9935      0.7387      0.1558      0.2101       0.780       3.510       2.336     581.451       0.397      10.391       1.858          0.41    100206.      0.2374
       98.78      1.0644      0.7589      0.1532      0.2157       0.800       3.605       2.298     597.125       0.407      10.222       1.782          0.41    101328.      0.2258
      105.37      1.1354      0.7767      0.1489      0.2187       0.812       3.654       2.234     605.324       0.413       9.936       1.711          0.41    102516.      0.2136
      111.95      1.2064      0.7931      0.1427      0.2182       0.810       3.646       2.141     603.869       0.412       9.523       1.645          0.41    103767.      0.2010
      118.54      1.2773      0.8084      0.1348      0.2140       0.794       3.576       2.021     592.332       0.404       8.991       1.584          0.42    105078.      0.1880
      125.12      1.3483      0.8225      0.1254      0.2066       0.766       3.450       1.879     571.585       0.390       8.361       1.526          0.42    106446.      0.1749
      131.71      1.4192      0.8349      0.1148      0.1961       0.728       3.277       1.721     542.877       0.370       7.657       1.473          0.43    107866.      0.1613
      138.30      1.4902      0.8449      0.1033      0.1834       0.681       3.063       1.550     507.330       0.346       6.896       1.419          0.43    109336.      0.1477
      144.88      1.5612      0.8516      0.0914      0.1683       0.625       2.812       1.369     465.845       0.318       6.093       1.365          0.43    110850.      0.1335
      151.47      1.6321      0.8538      0.0788      0.1515       0.562       2.530       1.182     419.131       0.286       5.256       1.309          0.44    112409.      0.1189
      158.06      1.7031      0.8491      0.0659      0.1329       0.493       2.220       0.989     367.783       0.251       4.396       1.248          0.45    114008.      0.1036
      164.63      1.7740      0.8337      0.0527      0.1129       0.419       1.885       0.791     312.324       0.213       3.520       1.176          0.45    115648.      0.0874
      171.23      1.8450      0.7997      0.0395      0.0915       0.340       1.529       0.592     253.278       0.172       2.635       1.084          0.45    117324.      0.0697
      177.81      1.9160      0.7288      0.0262      0.0691       0.257       1.154       0.393     191.202       0.130       1.747       0.950          0.45    119037.      0.0497
      184.39      1.9870      0.5636      0.0130      0.0458       0.170       0.765       0.195     126.722       0.086       0.866       0.706          0.46    120784.      0.0261
      190.97      2.0579     -0.0019      0.0000      0.0219       0.081       0.366      -0.001      60.555       0.041      -0.002      -0.003          0.47    122564.      0.0000



         PROP RPM =      15000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -
        0.00      0.0000      0.0000      0.1504      0.1470       0.671       2.820       2.588     500.419       0.319      11.511       2.403          0.42     98155.      0.3242
        7.05      0.0710      0.0725      0.1499      0.1468       0.670       2.817       2.580     499.838       0.319      11.479       2.395          0.42     98370.      0.3226
       14.12      0.1419      0.1444      0.1497      0.1472       0.671       2.823       2.578     500.974       0.319      11.465       2.382          0.42     98640.      0.3207
       21.17      0.2130      0.2152      0.1498      0.1482       0.676       2.841       2.579     504.280       0.321      11.471       2.364          0.42     98971.      0.3184
       28.23      0.2839      0.2840      0.1502      0.1499       0.684       2.875       2.585     510.160       0.325      11.498       2.339          0.42     99366.      0.3153
       35.29      0.3549      0.3503      0.1508      0.1525       0.696       2.924       2.595     518.937       0.331      11.545       2.306          0.42     99832.      0.3115
       42.34      0.4259      0.4133      0.1516      0.1560       0.712       2.991       2.611     530.828       0.338      11.610       2.266          0.42    100370.      0.3068
       49.41      0.4969      0.4720      0.1527      0.1604       0.732       3.077       2.628     545.944       0.348      11.689       2.216          0.42    100983.      0.3011
       56.46      0.5678      0.5260      0.1538      0.1658       0.756       3.179       2.647     564.272       0.360      11.776       2.160          0.42    101671.      0.2945
       63.52      0.6388      0.5746      0.1549      0.1720       0.786       3.300       2.667     585.655       0.373      11.867       2.098          0.42    102435.      0.2870
       70.58      0.7098      0.6179      0.1560      0.1791       0.818       3.436       2.687     609.762       0.388      11.950       2.030          0.42    103274.      0.2785
       77.64      0.7808      0.6558      0.1570      0.1869       0.853       3.583       2.702     636.030       0.405      12.017       1.958          0.43    104188.      0.2693
       84.69      0.8518      0.6883      0.1574      0.1950       0.890       3.740       2.710     663.570       0.422      12.053       1.884          0.43    105174.      0.2595
       91.75      0.9227      0.7161      0.1572      0.2030       0.927       3.893       2.707     690.982       0.440      12.041       1.810          0.43    106234.      0.2490
       98.81      0.9938      0.7397      0.1561      0.2104       0.960       4.035       2.688     716.094       0.456      11.956       1.736          0.43    107366.      0.2379
      105.87      1.0648      0.7598      0.1537      0.2162       0.986       4.146       2.646     735.772       0.469      11.768       1.665          0.44    108570.      0.2263
      112.92      1.1357      0.7776      0.1494      0.2193       1.000       4.205       2.573     746.320       0.475      11.445       1.599          0.45    109842.      0.2142
      119.98      1.2067      0.7940      0.1433      0.2188       0.999       4.197       2.468     744.962       0.475      10.974       1.537          0.45    111184.      0.2016
      127.04      1.2776      0.8094      0.1353      0.2147       0.980       4.120       2.330     731.080       0.466      10.366       1.480          0.45    112590.      0.1887
      134.09      1.3486      0.8236      0.1260      0.2074       0.946       3.976       2.168     705.710       0.450       9.644       1.427          0.45    114056.      0.1754
      141.16      1.4197      0.8361      0.1154      0.1970       0.899       3.777       1.986     670.392       0.427       8.835       1.376          0.46    115578.      0.1620
      148.22      1.4906      0.8463      0.1039      0.1840       0.840       3.530       1.789     626.529       0.399       7.959       1.327          0.46    117153.      0.1482
      155.28      1.5616      0.8535      0.0919      0.1690       0.772       3.242       1.582     575.239       0.366       7.034       1.277          0.46    118777.      0.1341
      162.33      1.6326      0.8560      0.0793      0.1520       0.694       2.915       1.365     517.409       0.330       6.069       1.225          0.47    120448.      0.1195
      169.38      1.7035      0.8519      0.0663      0.1333       0.609       2.557       1.142     453.774       0.288       5.078       1.168          0.47    122162.      0.1043
      176.44      1.7746      0.8375      0.0531      0.1131       0.516       2.170       0.914     384.990       0.245       4.066       1.103          0.48    123920.      0.0880
      183.50      1.8456      0.8048      0.0398      0.0916       0.418       1.756       0.684     311.703       0.199       3.043       1.018          0.48    125717.      0.0703
      190.56      1.9165      0.7355      0.0263      0.0689       0.315       1.322       0.454     234.606       0.149       2.018       0.895          0.49    127553.      0.0503
      197.62      1.9875      0.5725      0.0130      0.0454       0.207       0.870       0.224     154.481       0.098       1.000       0.669          0.49    129426.      0.0265
      204.68      2.0584     -0.0031     -0.0001      0.0212       0.097       0.407      -0.001      72.225       0.046      -0.003      -0.004          0.50    131334.      0.0000



         PROP RPM =      16000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -
        0.00      0.0000      0.0000      0.1504      0.1472       0.815       3.211       2.946     607.899       0.363      13.102       2.252          0.44    104698.      0.3241
        7.53      0.0710      0.0725      0.1499      0.1469       0.814       3.207       2.938     607.142       0.362      13.066       2.244          0.44    104928.      0.3226
       15.06      0.1420      0.1444      0.1498      0.1473       0.816       3.214       2.934     608.468       0.363      13.050       2.232          0.44    105216.      0.3207
       22.59      0.2130      0.2152      0.1498      0.1483       0.822       3.235       2.936     612.430       0.365      13.057       2.216          0.45    105568.      0.3184
       30.12      0.2840      0.2841      0.1502      0.1499       0.831       3.272       2.942     619.521       0.370      13.088       2.192          0.45    105990.      0.3154
       37.65      0.3550      0.3505      0.1508      0.1525       0.845       3.329       2.955     630.130       0.376      13.143       2.163          0.45    106487.      0.3116
       45.18      0.4260      0.4134      0.1517      0.1560       0.864       3.405       2.971     644.531       0.385      13.217       2.124          0.45    107062.      0.3070
       52.70      0.4970      0.4723      0.1527      0.1604       0.889       3.502       2.992     662.859       0.395      13.309       2.079          0.45    107716.      0.3013
       60.23      0.5679      0.5262      0.1540      0.1658       0.919       3.619       3.014     685.105       0.409      13.410       2.026          0.45    108450.      0.2947
       67.77      0.6389      0.5751      0.1551      0.1721       0.954       3.756       3.038     711.087       0.424      13.514       1.967          0.46    109264.      0.2872
       75.30      0.7100      0.6184      0.1562      0.1793       0.993       3.912       3.060     740.417       0.442      13.612       1.904          0.46    110159.      0.2788
       82.83      0.7810      0.6563      0.1572      0.1870       1.036       4.080       3.078     772.423       0.461      13.691       1.837          0.46    111134.      0.2697
       90.36      0.8519      0.6890      0.1577      0.1951       1.081       4.258       3.088     806.040       0.481      13.736       1.768          0.46    112187.      0.2599
       97.88      0.9230      0.7168      0.1575      0.2032       1.126       4.436       3.086     839.592       0.501      13.727       1.699          0.46    113318.      0.2495
      105.41      0.9940      0.7405      0.1565      0.2107       1.167       4.598       3.066     870.467       0.519      13.637       1.629          0.46    114526.      0.2384
      112.95      1.0649      0.7607      0.1541      0.2167       1.200       4.727       3.019     894.879       0.534      13.429       1.563          0.47    115809.      0.2269
      120.47      1.1359      0.7784      0.1500      0.2198       1.218       4.798       2.939     908.304       0.542      13.069       1.500          0.47    117167.      0.2147
      128.00      1.2069      0.7949      0.1440      0.2196       1.216       4.792       2.819     907.252       0.541      12.540       1.442          0.47    118598.      0.2021
      135.53      1.2779      0.8102      0.1360      0.2157       1.195       4.706       2.665     890.841       0.531      11.851       1.389          0.48    120098.      0.1893
      143.06      1.3489      0.8245      0.1266      0.2082       1.154       4.545       2.480     860.276       0.513      11.030       1.338          0.48    121662.      0.1761
      150.60      1.4199      0.8371      0.1161      0.1979       1.097       4.319       2.272     817.432       0.488      10.108       1.292          0.49    123288.      0.1626
      158.12      1.4909      0.8476      0.1046      0.1850       1.024       4.036       2.048     764.035       0.456       9.111       1.245          0.49    124968.      0.1489
      165.66      1.5619      0.8550      0.0925      0.1698       0.941       3.705       1.810     701.466       0.418       8.053       1.199          0.49    126702.      0.1348
      173.19      1.6328      0.8580      0.0798      0.1527       0.846       3.333       1.562     630.813       0.377       6.951       1.151          0.51    128484.      0.1202
      180.72      1.7039      0.8547      0.0668      0.1338       0.742       2.921       1.308     552.981       0.330       5.816       1.099          0.51    130314.      0.1049
      188.24      1.7749      0.8410      0.0535      0.1134       0.629       2.476       1.048     468.771       0.280       4.659       1.038          0.51    132190.      0.0887
      195.77      1.8459      0.8096      0.0401      0.0917       0.508       2.002       0.784     378.976       0.227       3.489       0.960          0.52    134108.      0.0709
      203.31      1.9169      0.7421      0.0265      0.0688       0.382       1.503       0.520     284.445       0.170       2.314       0.846          0.52    136067.      0.0510
      210.83      1.9878      0.5810      0.0132      0.0450       0.249       0.984       0.258     186.142       0.111       1.146       0.636          0.53    138066.      0.0270
      218.37      2.0589     -0.0039     -0.0001      0.0206       0.114       0.450      -0.001      85.177       0.051      -0.004      -0.005          0.53    140102.      0.0000



         PROP RPM =      17000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -
        0.00      0.0000      0.0000      0.1505      0.1474       0.980       3.630       3.327     730.141       0.410      14.797       2.118          0.47    111240.      0.3238
        8.00      0.0710      0.0725      0.1501      0.1472       0.978       3.625       3.317     729.168       0.409      14.755       2.111          0.47    111485.      0.3224
       16.00      0.1420      0.1443      0.1498      0.1474       0.980       3.633       3.313     730.692       0.410      14.738       2.100          0.47    111791.      0.3206
       24.00      0.2130      0.2150      0.1499      0.1484       0.986       3.656       3.316     735.377       0.413      14.747       2.085          0.47    112166.      0.3182
       32.00      0.2840      0.2840      0.1503      0.1501       0.998       3.698       3.323     743.818       0.417      14.783       2.062          0.47    112614.      0.3153
       40.01      0.3550      0.3503      0.1510      0.1527       1.014       3.761       3.337     756.487       0.425      14.845       2.034          0.47    113142.      0.3116
       48.01      0.4260      0.4134      0.1518      0.1562       1.038       3.847       3.357     773.715       0.434      14.930       1.999          0.48    113752.      0.3070
       56.01      0.4970      0.4723      0.1528      0.1606       1.067       3.956       3.380     795.670       0.447      15.034       1.957          0.48    114447.      0.3014
       64.01      0.5680      0.5264      0.1541      0.1660       1.103       4.088       3.406     822.350       0.462      15.151       1.907          0.48    115227.      0.2949
       72.01      0.6390      0.5753      0.1552      0.1723       1.144       4.244       3.433     853.549       0.480      15.270       1.852          0.48    116092.      0.2874
       80.02      0.7101      0.6187      0.1564      0.1794       1.192       4.419       3.458     888.812       0.499      15.383       1.792          0.48    117044.      0.2791
       88.02      0.7811      0.6566      0.1573      0.1871       1.244       4.611       3.479     927.354       0.521      15.477       1.730          0.48    118080.      0.2701
       96.02      0.8520      0.6895      0.1579      0.1953       1.298       4.812       3.492     967.918       0.544      15.533       1.665          0.48    119199.      0.2602
      104.02      0.9231      0.7174      0.1578      0.2035       1.352       5.014       3.492    1008.522       0.567      15.529       1.599          0.49    120401.      0.2499
      112.02      0.9940      0.7410      0.1569      0.2111       1.402       5.201       3.470    1046.067       0.588      15.433       1.534          0.49    121684.      0.2389
      120.03      1.0651      0.7612      0.1546      0.2172       1.443       5.350       3.419    1076.037       0.605      15.207       1.472          0.50    123047.      0.2274
      128.03      1.1361      0.7791      0.1506      0.2206       1.466       5.434       3.329    1092.966       0.614      14.810       1.413          0.50    124490.      0.2153
      136.03      1.2071      0.7955      0.1446      0.2205       1.465       5.432       3.196    1092.508       0.614      14.219       1.358          0.51    126011.      0.2028
      144.03      1.2780      0.8109      0.1367      0.2167       1.440       5.337       3.023    1073.429       0.603      13.447       1.308          0.51    127605.      0.1899
      152.03      1.3491      0.8252      0.1273      0.2093       1.391       5.156       2.816    1037.093       0.583      12.523       1.261          0.52    129268.      0.1767
      160.03      1.4201      0.8379      0.1167      0.1990       1.322       4.901       2.582     985.757       0.553      11.482       1.216          0.52    130996.      0.1632
      168.03      1.4911      0.8486      0.1052      0.1860       1.236       4.582       2.328     921.525       0.517      10.352       1.173          0.53    132782.      0.1494
      176.03      1.5621      0.8563      0.0931      0.1708       1.135       4.207       2.058     846.081       0.475       9.154       1.131          0.53    134624.      0.1354
      184.03      1.6331      0.8599      0.0804      0.1535       1.020       3.782       1.777     760.752       0.427       7.904       1.086          0.54    136520.      0.1208
      192.04      1.7041      0.8571      0.0673      0.1346       0.894       3.314       1.487     666.634       0.374       6.617       1.036          0.54    138464.      0.1056
      200.03      1.7751      0.8443      0.0539      0.1140       0.757       2.808       1.192     564.698       0.317       5.302       0.980          0.54    140458.      0.0893
      208.04      1.8461      0.8141      0.0403      0.0920       0.611       2.267       0.892     455.905       0.256       3.970       0.908          0.55    142496.      0.0716
      216.04      1.9171      0.7484      0.0268      0.0689       0.458       1.697       0.592     341.283       0.192       2.634       0.802          0.55    144578.      0.0516
      224.04      1.9881      0.5894      0.0133      0.0448       0.297       1.103       0.293     222.004       0.124       1.304       0.608          0.56    146703.      0.0275
      232.04      2.0591     -0.0047     -0.0001      0.0200       0.133       0.494      -0.002      99.428       0.055      -0.005      -0.005          0.56    148866.      0.0000



         PROP RPM =      18000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -
        0.00      0.0000      0.0000      0.1505      0.1476       1.164       4.077       3.731     868.238       0.461      16.595       1.998          0.50    117783.      0.3236
        8.53      0.0714      0.0729      0.1501      0.1474       1.163       4.072       3.721     867.038       0.460      16.549       1.991          0.50    118044.      0.3221
       17.04      0.1429      0.1451      0.1499      0.1477       1.165       4.080       3.716     868.832       0.461      16.529       1.981          0.50    118370.      0.3203
       25.57      0.2143      0.2163      0.1500      0.1487       1.172       4.106       3.718     874.426       0.464      16.540       1.966          0.50    118769.      0.3180
       34.09      0.2858      0.2856      0.1504      0.1504       1.186       4.153       3.728     884.531       0.469      16.581       1.946          0.50    119248.      0.3150
       42.62      0.3571      0.3524      0.1510      0.1530       1.207       4.225       3.744     899.714       0.478      16.652       1.918          0.50    119812.      0.3113
       51.14      0.4286      0.4156      0.1519      0.1565       1.234       4.322       3.766     920.372       0.489      16.750       1.885          0.51    120464.      0.3066
       59.67      0.5000      0.4748      0.1530      0.1609       1.270       4.446       3.792     946.712       0.502      16.869       1.845          0.51    121206.      0.3010
       68.19      0.5715      0.5291      0.1542      0.1664       1.312       4.596       3.822     978.724       0.519      17.002       1.798          0.51    122040.      0.2944
       76.72      0.6430      0.5780      0.1555      0.1728       1.363       4.771       3.853    1016.161       0.539      17.139       1.746          0.51    122966.      0.2870
       85.23      0.7144      0.6215      0.1565      0.1800       1.420       4.970       3.882    1058.470       0.561      17.267       1.689          0.52    123982.      0.2786
       93.76      0.7858      0.6596      0.1575      0.1878       1.482       5.188       3.906    1104.697       0.587      17.373       1.629          0.52    125090.      0.2694
      102.28      0.8572      0.6922      0.1582      0.1961       1.546       5.416       3.920    1153.318       0.612      17.437       1.567          0.52    126287.      0.2596
      110.81      0.9287      0.7201      0.1581      0.2043       1.612       5.644       3.919    1201.935       0.637      17.431       1.505          0.53    127572.      0.2491
      119.33      1.0001      0.7436      0.1571      0.2120       1.672       5.854       3.894    1246.807       0.661      17.322       1.444          0.53    128944.      0.2381
      127.86      1.0716      0.7638      0.1547      0.2181       1.720       6.022       3.836    1282.482       0.680      17.062       1.384          0.53    130401.      0.2265
      136.38      1.1430      0.7815      0.1506      0.2214       1.746       6.115       3.733    1302.309       0.691      16.607       1.329          0.53    131944.      0.2143
      144.91      1.2144      0.7979      0.1445      0.2212       1.744       6.109       3.581    1300.966       0.690      15.929       1.277          0.54    133570.      0.2017
      153.43      1.2858      0.8133      0.1364      0.2171       1.712       5.996       3.382    1276.966       0.677      15.043       1.229          0.54    135274.      0.1886
      161.95      1.3573      0.8276      0.1268      0.2094       1.652       5.785       3.144    1232.043       0.653      13.986       1.185          0.55    137053.      0.1754
      170.47      1.4287      0.8403      0.1160      0.1987       1.567       5.489       2.877    1169.008       0.621      12.795       1.143          0.55    138899.      0.1618
      179.00      1.5002      0.8509      0.1043      0.1854       1.462       5.120       2.587    1090.443       0.579      11.504       1.103          0.55    140808.      0.1479
      187.52      1.5716      0.8584      0.0920      0.1698       1.339       4.688       2.279     998.384       0.529      10.137       1.062          0.55    142777.      0.1336
      196.04      1.6431      0.8615      0.0790      0.1521       1.200       4.200       1.958     894.421       0.475       8.713       1.019          0.56    144802.      0.1188
      204.57      1.7145      0.8578      0.0657      0.1326       1.046       3.662       1.629     779.869       0.414       7.245       0.972          0.57    146881.      0.1033
      213.09      1.7859      0.8431      0.0522      0.1115       0.879       3.080       1.292     655.909       0.348       5.747       0.917          0.57    149010.      0.0867
      221.62      1.8573      0.8086      0.0384      0.0890       0.703       2.459       0.952     523.717       0.278       4.232       0.844          0.58    151188.      0.0684
      230.14      1.9288      0.7318      0.0246      0.0654       0.516       1.806       0.610     384.577       0.204       2.713       0.733          0.59    153413.      0.0475
      238.66      2.0002      0.5318      0.0109      0.0408       0.322       1.127       0.270     239.969       0.127       1.204       0.506          0.59    155681.      0.0219



         PROP RPM =      19000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -
        0.00      0.0000      0.0000      0.1506      0.1479       1.373       4.553       4.159    1023.317       0.514      18.498       1.889          0.53    124325.      0.3231
        8.94      0.0710      0.0723      0.1502      0.1477       1.370       4.546       4.147    1021.750       0.513      18.447       1.884          0.53    124598.      0.3216
       17.89      0.1421      0.1440      0.1499      0.1480       1.373       4.554       4.142    1023.662       0.514      18.425       1.874          0.53    124940.      0.3199
       26.83      0.2130      0.2146      0.1501      0.1489       1.381       4.582       4.144    1029.989       0.518      18.437       1.861          0.53    125358.      0.3177
