         7x13E                    (7x13E.dat)
         Interpolated from 7x11E and 7x15E
         Estimation Date: 04/16/2026

         AIRFOIL AERO DATA GENERATED USING:  INTERPOLATION (7x11E + 7x15E)  

         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======

         DEFINITIONS:
         J=V/nD (advance ratio) 
         Ct=T/(rho * n**2 * D**4) (thrust coef.)
         Cp=P/(rho * n**3 * D**5) (power coef.)
         Pe=Ct*J/Cp (efficiency) 
         V  (model speed in MPH) 
         Mach (at prop tip)  
         Reyn (at 75% of span) 
         FOM (Figure of Merit)


         PROP RPM =       1000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       21.19      1.5986      0.7608      0.0779      0.1643       0.002       0.056       0.024       1.325       0.006       0.106       8.332          0.06     15952.      0.1076
       22.12      1.6681      0.7420      0.0655      0.1477       0.002       0.051       0.020       1.192       0.006       0.089       7.785          0.06     16174.      0.0921
       23.03      1.7376      0.7073      0.0528      0.1300       0.002       0.044       0.016       1.050       0.005       0.072       7.121          0.07     16400.      0.0756
       23.95      1.8071      0.6483      0.0398      0.1114       0.001       0.038       0.013       0.898       0.005       0.054       6.270          0.07     16632.      0.0578
       24.88      1.8766      0.5487      0.0268      0.0917       0.001       0.032       0.009       0.740       0.004       0.037       5.101          0.07     16868.      0.0386
       25.80      1.9461      0.3732      0.0137      0.0714       0.001       0.024       0.004       0.576       0.003       0.019       3.337          0.07     17110.      0.0181
       26.72      2.0156      0.0279      0.0007      0.0506       0.001       0.018       0.000       0.408       0.002       0.001       0.241          0.07     17356.      0.0003



         PROP RPM =       3000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -
        0.00      0.0000      0.0000      0.1492      0.1555       0.005       0.119       0.102       4.235       0.013       0.457      11.236          0.08     19632.      0.3020
        1.40      0.0699      0.0669      0.1487      0.1554       0.005       0.119       0.102       4.232       0.013       0.456      11.188          0.08     19674.      0.3002
        2.78      0.1399      0.1331      0.1483      0.1558       0.005       0.119       0.102       4.242       0.013       0.455      11.122          0.08     19728.      0.2982
        4.17      0.2099      0.1982      0.1483      0.1568       0.005       0.120       0.102       4.268       0.013       0.454      11.032          0.08     19792.      0.2956
        5.56      0.2798      0.2616      0.1485      0.1585       0.005       0.121       0.102       4.315       0.013       0.455      10.915          0.08     19870.      0.2926
        6.96      0.3498      0.3227      0.1489      0.1609       0.006       0.123       0.102       4.383       0.014       0.456      10.765          0.08     19960.      0.2890
        8.34      0.4198      0.3809      0.1496      0.1643       0.006       0.126       0.103       4.476       0.014       0.458      10.581          0.08     20065.      0.2846
        9.74      0.4898      0.4355      0.1503      0.1686       0.006       0.130       0.103       4.592       0.014       0.461      10.363          0.08     20185.      0.2794
       11.13      0.5597      0.4858      0.1512      0.1738       0.007       0.133       0.104       4.732       0.015       0.463      10.113          0.08     20319.      0.2734
       12.52      0.6297      0.5316      0.1520      0.1797       0.007       0.138       0.104       4.896       0.016       0.466       9.835          0.08     20468.      0.2666
       13.91      0.6996      0.5726      0.1528      0.1865       0.007       0.143       0.105       5.078       0.016       0.468       9.535          0.08     20632.      0.2590
       15.30      0.7695      0.6089      0.1533      0.1937       0.007       0.149       0.105       5.276       0.017       0.470       9.217          0.09     20810.      0.2508
       16.70      0.8396      0.6406      0.1535      0.2012       0.007       0.154       0.105       5.479       0.018       0.470       8.889          0.09     21002.      0.2418
